repo_fullname,commits_avg_added,commits_avg_files_changed,commits_avg_message_length,commits_avg_per_day_real,commits_avg_removed,commits_count,commits_days_since_first,commits_days_since_last,commits_max_per_day,commits_total_lines_added,commits_total_lines_removed,contributors_count,contributors_top_avg_additions,contributors_top_avg_commits,contributors_top_avg_deletions,contributors_top_avg_participation_week,forks_avg_max_per_day,forks_count,issues_avg_body_length,issues_avg_comment_length,issues_avg_comments,issues_avg_labels,issues_avg_per_day,issues_avg_per_day_real,issues_avg_title_length,issues_count,issues_labels,issues_max_per_day,issues_open,issues_total_comments,pulls_avg_body_length,pulls_avg_comments,pulls_avg_Commits,pulls_avg_created_per_day_real,pulls_avg_files_changed,pulls_avg_labels,pulls_avg_lines_added,pulls_avg_lines_removed,pulls_avg_review_comments,pulls_avg_title_length,pulls_count,pulls_max_created_per_day,pulls_total_lines_added,pulls_total_lines_removed,releases_avg_assets,releases_avg_assets_downloads,releases_avg_assets_size,releases_avg_body_length,releases_avg_title_length,releases_count,releases_tags,releases_total_downloads,repo_age_days,repo_branches,repo_deployments,repo_languages,repo_milestones,repo_network_members,repo_readme_length,repo_size,repo_topics,repo_watchers,repo_workflows,stars_avg_per_day_real,stars_count,stars_max_per_day,wf_avg_duration,wf_avg_fails_per_day,wf_avg_failure_duration,wf_avg_success_duration,wf_avg_successes_per_day_real,wf_count,labels
A13253565831/wxapp_newRestaurant,12,1,16,1,12,1,1628,1628,1,12,12,1,942,7,1,1,2,55,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628,1,0,1,0,55,0,1733,0,143,0,1,143,2,0,0,0,0,0,0,1
cryptokylin/CryptoKylin-Testnet,8,2,22,1,26,1,887,887,1,8,26,22,11,5,4,2,3,53,0,85,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,2,0,2,0,53,0,112,7,143,0,1,143,4,0,0,0,0,0,0,1
react-toolbox/react-toolbox-example,38,4,52,2,34,45,2341,1866,6,1702,1530,10,48,3,33,1,2,98,1009,267,2,0,0,1,34,60,2,4,19,170,86,1,1,1,2,0,2321,1,0,55,2,1,4643,2,0,0,0,0,0,0,0,0,2341,1,0,3,0,99,144,41,0,146,0,1,146,3,0,0,0,0,0,0,0
kubernetes/committee-security-response,1,1,63,1,1,1,28,28,1,1,1,23,32,4,13,3,2,56,0,340,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,2,0,0,0,58,0,808,0,143,0,1,100,19,0,0,0,0,0,0,1
xiaolai/help-to-be-helped,48,1,12,4,3,21,791,724,9,999,64,4,47,5,3,1,13,59,25,7,0,0,0,1,11,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,1,0,0,0,60,43235,968,0,145,0,1,145,19,0,0,0,0,0,0,1
SpaceApps2016/Resources,13,1,20,3,1,41,2187,2122,5,519,47,4,12,10,1,2,4,51,107,19,0,0,0,1,41,4,0,1,1,2,99,0,1,1,1,0,7,1,0,70,1,1,7,1,0,0,0,0,0,0,0,0,2187,1,0,0,0,53,37293,50,0,147,0,3,147,21,0,0,0,0,0,0,0
chschoenenberger/covid19_dashboard,1,1,101,1,1,1,627,627,1,1,1,4,55,17,21,2,8,64,0,151,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,2,0,1,0,66,0,75,0,143,0,2,143,33,0,0,0,0,0,0,1
sirkitree/angular-directive.g-signin,13,1,63,3,8,77,3259,1812,23,1029,612,17,9,2,5,1,2,87,304,205,1,0,0,1,36,69,5,4,17,123,68,0,2,1,1,0,4,2,0,41,3,1,13,7,0,0,0,0,0,0,0,0,3259,2,0,3,0,88,2477,38,0,147,0,1,147,4,0,0,0,0,0,0,0
jorgevgut/airquality-mx,108,4,218,4,9,32,723,709,10,3461,294,0,0,0,0,0,4,51,1129,1176,1,0,0,1,25,3,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,1,0,2,0,52,3063,82,0,142,0,1,142,15,0,0,0,0,0,0,1
llSourcell/AI_Writer,204,2,16,5,16,9,2113,2111,8,1839,145,2,204,4,16,1,2,96,664,195,2,0,0,1,48,8,0,1,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2113,1,0,1,0,97,2517,377,0,147,0,1,147,2,0,0,0,0,0,0,1
pitiwazou/Scripts-Blender,105,1,37,3,41,205,2865,1851,12,21429,8344,2,131,102,66,21,1,71,177,443,1,0,0,1,29,7,0,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2865,1,0,0,0,71,188,406,0,145,0,1,145,2,0,0,0,0,0,0,1
web3p/ethereum-tx,132,2,46,2,80,77,1519,94,7,10167,6152,3,94,19,59,9,1,50,626,538,1,0,0,1,36,49,8,2,2,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,4,11,11,0,1519,1,0,1,0,53,2644,86,4,142,1,1,142,3,0.036064815,0,0.032974537,0.003090278,2,2,0
samuel/go-opencl,90,4,38,3,25,33,3211,1605,10,2966,819,1,154,32,88,6,1,28,216,169,0,0,0,1,41,11,0,1,9,6,108,0,1,1,8,0,49,5,0,58,4,1,199,21,0,0,0,0,0,0,0,0,3211,1,0,1,0,62,210,46,0,142,0,1,142,3,0,0,0,0,0,0,0
MadStudioRoblox/ProfileService,47,1,36,4,15,150,629,158,31,6986,2257,3,52,47,17,8,2,49,724,352,1,0,0,1,34,28,0,2,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,2,96,1,0,51,2494,1227,0,142,1,1,142,5,0.019820602,0,0,0.019820602,2,2,0
0xPrateek/Stardox,24,1,35,3,8,104,1179,22,16,2499,824,5,25,18,9,4,20,64,238,300,2,0,0,1,33,57,18,5,1,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,3,0,1,0,68,3531,143,10,143,0,1,143,9,0,0,0,0,0,0,1
chingyawhao/materialize-clockpicker,0,2,38,1,0,1,1432,1432,1,0,0,7,777,1,391,1,2,75,243,162,1,0,0,1,34,41,0,2,24,73,211,1,9,1,7,0,113,39,1,15,2,1,226,79,0,17,72363,34,3,4,4,34,2402,1,0,3,0,77,0,1716,0,143,0,1,143,3,0,0,0,0,0,0,0
sintrb/WaveAccess,59,2,12,5,30,32,2901,2879,13,1880,952,1,71,32,42,4,1,84,93,30,2,0,0,1,17,2,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2901,1,0,1,0,84,2401,1309,0,149,0,1,149,2,0,0,0,0,0,0,1
neoremind/coddding,284,3,13,3,11,305,2083,189,12,86544,3456,1,234,388,16,68,3,71,0,84,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2758,8,0,3,0,71,0,1566,0,142,0,1,142,3,0,0,0,0,0,0,1
skavinvarnan/Cross-Platform-AES,1,1,67,1,1,1,802,802,1,1,1,2,102,5,34,2,2,68,0,173,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,1,0,1865,1,0,6,0,69,0,22,14,141,0,0,0,0,0,0,0,0,0,0,0
JeffHoogland/pyxhook,69,1,51,2,42,28,2731,1429,4,1928,1182,9,79,2,50,1,1,73,444,201,1,0,0,1,30,31,0,2,8,47,246,0,2,1,1,0,13,8,0,49,1,1,13,8,0,0,0,0,0,0,0,0,2731,1,0,1,0,73,357,32,0,147,0,1,147,5,0,0,0,0,0,0,0
notanumber/xapian-haystack,3,2,29,1,3,1,13,13,1,3,3,16,32,33,28,6,0,0,0,286,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4672,2,0,2,0,88,4710,712,0,146,0,1,100,37,0,0,0,0,0,0,1
Crowd9/Benchmark,8,1,32,2,4,108,3636,2220,9,815,440,5,8,16,4,4,3,66,300,190,1,0,0,1,30,22,3,1,11,27,45,0,2,1,1,0,5,3,0,21,2,1,10,7,0,0,0,0,0,0,0,0,3636,2,0,1,0,67,1473,720,0,147,0,1,147,13,0,0,0,0,0,0,0
ruscoe/Android-Tile-Based-Game,1,1,16,1,1,1,709,709,1,1,1,1,129,16,5,10,2,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3798,1,0,1,0,99,0,180,2,142,0,1,100,6,0,0,0,0,0,0,1
fraserxu/ionic-rating,17,2,51,2,5,26,2880,1986,4,452,130,5,21,3,3,2,2,56,293,210,2,0,0,1,34,46,0,2,20,98,50,0,1,1,3,0,44,56,0,33,4,1,178,224,0,0,0,0,0,0,0,0,2880,1,0,3,0,56,1620,22,0,147,0,1,147,2,0,0,0,0,0,0,0
OrchardCMS/OrchardCore.Commerce,2912,13,67,2,2826,201,1254,21,14,585215,568121,8,4375,16,4321,6,2,59,629,334,3,0,0,1,34,100,28,16,25,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1254,7,0,3,0,60,2934,1216,0,149,1,1,149,4,0.06525463,0,0.036030093,0.029224537,3,2,0
ichuang/tflearn_wide_and_deep,118,2,18,2,4,7,2042,2036,4,827,26,1,118,7,3,2,3,66,253,21,0,0,0,1,47,4,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,1,0,1,0,66,13624,118,0,149,0,1,149,2,0,0,0,0,0,0,1
JackDanielsAndCode/react-native-multi-slider,67,3,64,2,20,55,2404,1393,4,3712,1097,10,74,3,19,2,2,88,193,185,1,0,0,1,36,61,0,4,28,95,29,1,4,1,2,0,82,68,0,43,5,1,412,343,0,0,0,0,0,0,0,0,2404,1,0,2,0,97,4305,633,0,148,0,1,148,7,0,0,0,0,0,0,0
njcx/pocsuite_poc_collect,6447,96,7,1,0,1,1289,1289,1,6447,0,1,2150,3,0,1,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1289,1,0,1,0,54,0,74,2,143,0,0,0,0,0,0,0,0,0,0,1
mattloper/chumpy,119,3,67,2,17,128,2922,220,12,15257,2216,7,144,13,76,5,2,62,396,172,1,0,0,1,39,46,0,5,13,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2821,6,0,2,0,72,1404,216,0,149,0,1,149,3,0,0,0,0,0,0,1
cmprescott/ansible-xml,1,1,31,1,1,1,1086,1086,1,1,1,17,50,4,27,2,0,0,0,302,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,2,2,0,2962,1,0,1,0,60,5928,180,0,141,0,0,0,0,0,0,0,0,0,0,1
jgranick/actuate,230,3,45,2,179,206,3726,252,9,47424,36834,25,264,7,211,3,1,60,352,190,1,0,0,1,42,119,1,2,41,159,226,0,1,1,2,0,35,15,0,52,11,1,389,169,0,0,0,0,0,0,0,0,3726,1,0,3,0,62,7331,397,0,144,0,1,144,6,0,0,0,0,0,0,0
Chronic-Dev/libirecovery,154,2,66,3,230,157,4343,3050,34,24220,36110,6,181,23,159,5,2,65,352,182,1,0,0,1,31,21,0,1,12,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4291,1,0,2,0,69,751,769,0,141,0,1,141,14,0,0,0,0,0,0,1
gpouilloux/gnome-shell-extension-docker,56,2,129,2,26,52,2251,673,6,2900,1370,12,60,3,30,2,1,50,298,253,1,0,0,1,37,71,5,3,27,141,566,0,5,1,7,0,297,177,0,30,6,1,1782,1066,0,0,0,95,2,1,1,0,2251,1,0,3,0,65,641,124,5,147,0,1,147,4,0,0,0,0,0,0,0
mandiant/flare-dbg,294,3,64,2,10,13,2286,1639,3,3822,132,3,770,1,1,1,3,51,80,0,0,0,0,1,45,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2293,1,0,1,0,52,1869,39,1,146,0,1,146,20,0,0,0,0,0,0,1
tao12345666333/tornado-zh,20,1,18,1,23,18,2208,991,2,360,413,6,266,32,17,8,2,65,0,56,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2329,7,0,5,0,65,0,810,3,146,0,1,146,4,0,0,0,0,0,0,1
cld378632668/ucas_course_tool,24,1,8,5,5,68,2023,1282,10,1622,359,1,15,62,5,8,7,71,0,67,3,0,0,1,26,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,1,0,1,0,71,2704,43,0,147,0,1,147,9,0,0,0,0,0,0,1
ilblackdragon/tf_examples,88,2,46,2,15,31,2325,1676,5,2723,478,2,100,12,20,6,2,86,169,289,2,0,0,1,45,10,0,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2325,1,0,1,0,88,195,52,0,145,0,1,145,3,0,0,0,0,0,0,1
tensorlayer/DAGAN,1,1,15,1,1,1,995,995,1,1,1,2,145,7,56,3,2,52,0,97,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570,1,0,1,0,52,0,128,4,146,0,1,146,6,0,0,0,0,0,0,1
yaa110/Memento,150,8,27,6,14,82,2046,786,18,12323,1160,8,156,10,19,1,2,57,126,66,1,0,0,1,27,8,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,1203122,40,2,3,3,685,1941,1,0,2,0,58,1348,1472,3,148,0,1,148,5,0,0,0,0,0,0,1
Dreadstar22/AWS-FAQ,27,1,42,3,13,115,663,293,14,3087,1527,6,22,11,12,3,3,47,27,135,0,0,0,1,20,33,1,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,4,0,0,0,98,1660,169,6,142,0,1,142,6,0,0,0,0,0,0,1
ansiblebit/oracle-java,17,2,55,6,10,485,2673,1047,44,8327,4752,17,13,22,8,3,2,84,547,315,2,0,0,1,35,121,68,9,15,283,21,0,8,1,11,0,79,27,0,16,1,1,79,27,0,0,0,245,5,31,31,0,2553,4,0,3,2,85,8423,333,13,142,0,1,142,3,0,0,0,0,0,0,0
match5/thsauto,39,1,18,2,7,35,901,22,5,1380,252,2,37,16,7,7,2,89,51,155,1,0,0,1,18,15,0,1,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901,2,0,1,0,92,1041,18,0,151,0,1,151,4,0,0,0,0,0,0,1
jaredhanson/passport-totp,2,1,27,1,0,1,1657,1657,1,2,0,2,66,5,3,2,2,48,0,347,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3246,1,0,2,0,51,0,13,0,141,0,1,141,2,0,0,0,0,0,0,1
thiagobustamante/typescript-rest-swagger,296,3,47,2,172,223,1798,294,11,66107,38415,16,315,7,170,3,1,55,1026,232,1,0,0,1,43,147,25,3,67,237,2217,1,3,1,7,0,359,55,0,38,11,1,3951,606,0,0,0,6,5,38,38,0,1799,10,0,2,0,55,9523,1832,7,148,2,1,148,2,0.000509259,0,0,0.000509259,2,2,0
huwenxianglyy/bert-use-demo,2614,9,18,2,7,3,1136,1032,2,7843,20,1,7614,1,0,1,2,62,168,71,0,0,0,1,31,9,0,2,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,1,0,1,0,63,189,503,0,142,0,1,142,2,0,0,0,0,0,0,1
homejim/mybatis-cn,1026,3,19,3,3,141,1253,915,9,144705,396,1,1071,135,2,11,2,60,6032,17,0,1,0,1,37,5,5,1,2,3,6513,0,1,1,1,1,1,1,0,37,2,1,2,2,0,0,0,0,0,0,0,0,1253,3,0,6,0,61,4389,1311,3,149,0,1,149,5,0,0,0,0,0,0,0
chenjr0719/Facebook-Page-Crawler,4,1,80,1,1,1,1173,1173,1,4,1,1,91,13,45,4,5,64,0,328,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,2,0,1,0,65,0,16,0,145,0,1,145,3,0,0,0,0,0,0,1
gqf2008/bbllive,516,3,34,2,137,18,2198,932,5,9284,2462,3,618,5,164,3,2,66,184,56,1,0,0,1,22,23,3,2,2,29,41,0,1,1,1,0,2,2,0,20,1,1,2,2,0,0,0,0,0,0,0,0,2198,1,0,1,0,68,15136,56,0,148,0,1,148,6,0,0,0,0,0,0,0
spring-projects-experimental/spring-cloud-etcd,143,5,81,2,39,41,2598,1116,9,5876,1587,4,159,7,48,3,2,59,815,148,2,0,0,1,40,61,13,8,32,124,3056,1,1,1,12,0,241,167,0,38,11,2,2659,1843,0,0,0,0,0,0,0,0,2598,4,0,3,0,60,9196,817,0,142,0,1,141,2,0,0,0,0,0,0,0
gateio/gateapi-python,1230,25,39,1,304,98,1191,70,4,120581,29831,2,1252,35,373,28,3,67,397,126,3,0,0,1,29,105,0,4,10,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,14,3,3,0,1189,2,0,2,0,68,31577,1725,0,147,1,1,147,2,0.008200231,0,0.000434028,0.007766204,2,2,0
pavelrisenberg/fitbitphp,65,2,66,2,22,64,4022,2625,7,4155,1385,4,99,4,27,2,2,71,329,181,1,0,0,1,45,25,0,2,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4022,1,0,1,0,96,7964,217,0,142,0,1,142,22,0,0,0,0,0,0,1
MicrocontrollersAndMore/Raspberry_Pi_2_and_OpenCV_3_Tutorial_Part_1,62,4,2,2,11,17,2381,2366,5,1054,182,1,62,17,10,3,2,97,34,0,0,0,0,1,33,2,0,1,2,0,34,0,1,1,1,0,1,0,0,33,2,1,3,1,0,0,0,0,0,0,0,0,2381,1,0,1,0,98,4022,1160,0,142,0,1,142,2,0,0,0,0,0,0,0
codebox/moment-precise-range,1,1,15,1,1,1,1545,1545,1,1,1,7,188,3,13,2,2,83,0,195,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2960,1,0,2,0,91,0,55,4,146,0,1,146,2,0,0,0,0,0,0,1
dobromir-hristov/vuecommunity,98,2,79,2,38,247,1189,68,13,24098,9389,47,98,4,42,2,7,69,1222,223,1,0,0,1,33,200,85,27,23,242,3843,1,5,1,9,0,146,76,4,39,8,2,1169,609,0,0,0,0,0,0,0,0,1191,6,0,0,0,71,380,1727,5,148,0,1,148,17,0,0,0,0,0,0,0
shenzhe/geohash,58,2,48,2,9,19,2970,1443,5,1106,169,3,68,5,9,2,3,53,448,869,0,0,0,1,25,11,0,1,5,7,43,0,1,1,1,0,1,1,0,16,1,1,1,1,0,0,0,0,0,0,0,0,2970,1,0,4,0,53,1193,18,0,147,0,1,147,6,0,0,0,0,0,0,0
astockwell/countries-and-provinces-states-regions,263,4,33,5,43,90,3171,2501,17,23701,3890,5,283,16,46,2,2,84,328,121,0,0,0,1,27,16,0,1,6,12,208,0,1,1,1,0,219,57,0,29,3,1,659,171,0,0,0,0,0,0,0,0,3171,1,0,1,0,87,916,382,0,149,0,1,149,3,0,0,0,0,0,0,0
evilcos/python-webshell,200,1,7,3,0,3,3709,3709,3,601,1,1,200,3,0,1,2,91,0,0,0,0,0,1,13,1,0,1,1,0,0,0,1,1,1,0,4,4,0,13,1,1,4,4,0,0,0,0,0,0,0,0,3709,1,0,0,0,96,176,98,0,143,0,1,143,8,0,0,0,0,0,0,0
arvindr21/myRESTApp,10634,41,17,2,1,6,2748,2746,3,63802,5,1,10633,6,0,1,2,66,587,239,1,0,0,1,40,6,0,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2748,1,0,2,0,68,135,1032,0,141,0,1,141,2,0,0,0,0,0,0,1
mahmoodlab/NucleiSegmentation,98,4,16,5,1,24,1283,1059,16,2353,23,1,98,24,0,5,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,2,0,2,0,52,3624,847,6,147,0,1,147,2,0,0,0,0,0,0,1
kazu-yamamoto/logger,1,1,24,1,1,1,67,67,1,1,1,54,15,8,11,3,2,64,0,153,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3753,1,0,1,0,64,0,508,0,145,0,1,100,5,0,0,0,0,0,0,1
tensor-infinity/machine_learning_and_application_v1,200,2,16,8,2,8,1189,1189,8,1597,18,2,199,4,2,1,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,1,0,1,0,54,14647,49,0,149,0,1,149,3,0,0,0,0,0,0,1
paul-schaaf/spl-token-ui,108,2,22,1,31,1,267,267,1,108,31,1,108,100,48,10,4,58,0,82,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,2,0,5,0,60,0,357,2,142,0,1,142,3,0,0,0,0,0,0,1
danielmiessler/vim,21,1,15,2,1,6,2968,2827,4,126,6,1,21,6,1,3,3,59,181,38,0,0,0,1,27,3,0,1,2,1,90,0,2,1,1,0,18,0,0,13,1,1,18,0,0,0,0,0,0,0,0,0,2968,1,0,1,0,59,0,178,0,149,0,1,149,5,0,0,0,0,0,0,0
codinguser/android_contact_picker,2,2,35,1,2,1,2362,2362,1,2,2,3,137,9,74,4,2,66,0,446,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3773,2,0,1,0,69,0,709,0,141,0,1,141,9,0,0,0,0,0,0,1
jnicol/tweet-php,121,2,70,3,4,65,3207,856,12,7839,271,5,15,2,9,1,2,52,268,253,1,0,0,1,33,31,4,2,4,57,182,0,1,1,1,0,2,1,0,51,1,1,2,1,0,0,0,0,0,0,0,0,3207,1,0,1,0,55,6893,218,0,149,0,1,149,3,0,0,0,0,0,0,0
mlehman/nlp-intent-toolkit,32,2,17,2,5,14,2960,1377,5,450,68,1,37,14,10,7,2,50,385,224,1,0,0,1,29,9,0,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2960,1,0,1,0,51,2411,443,2,143,0,1,143,3,0,0,0,0,0,0,1
tamasmeszaros/libnest2d,405,5,57,2,339,336,1452,87,12,136065,113954,6,491,50,425,9,2,51,476,346,2,0,0,1,35,45,0,2,19,91,1029,2,1,1,1,0,8,1,0,19,3,1,26,3,0,0,0,295,13,1,1,0,1436,1,72,2,0,52,7810,1548,5,147,2,1,147,2,0.069461806,0,0.017690972,0.051770833,4,2,0
mattermoran/map_launcher,69,6,42,2,27,136,890,46,8,9359,3649,12,64,9,23,3,2,63,1480,244,2,0,0,1,38,110,4,5,29,324,337,1,1,1,1,0,4,2,0,35,3,1,13,8,0,0,0,0,0,0,0,0,890,9,0,5,1,64,16911,642,0,151,0,1,151,8,0,0,0,0,0,0,0
lululxvi/deeponet,440,5,21,1,18,12,702,39,2,5275,212,2,479,5,19,5,3,61,973,384,2,0,0,1,53,18,0,2,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,13,1,1,0,702,1,0,2,0,61,7763,77,0,144,0,1,144,5,0,0,0,0,0,0,1
ocelma/python-itunes,25,1,109,1,0,1,1616,1616,1,25,0,7,13,2,4,1,2,61,0,445,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3928,1,0,1,0,64,0,41,0,146,0,1,146,19,0,0,0,0,0,0,1
SilentCicero/ethereumjs-accounts,5730,3,35,2,3881,30,2476,2054,7,171905,116422,2,1,1,1,1,2,57,2725,1949,1,0,0,1,37,25,6,3,15,32,0,1,1,1,1,0,1,1,0,32,1,1,1,1,0,0,0,0,0,0,0,0,2476,1,0,1,0,69,5830,594,0,149,0,1,149,3,0,0,0,0,0,0,0
carrascoacd/ArduinoSIM800L,71,3,45,2,35,87,1999,146,8,6214,3018,4,90,17,60,9,1,54,414,798,3,0,0,1,30,54,13,4,12,166,0,0,3,1,2,0,12,10,0,36,1,1,12,10,0,0,0,269,20,3,3,0,1999,4,0,2,1,57,3520,102,9,144,0,1,144,3,0,0,0,0,0,0,0
fabio-miranda/csv-to-influxdb,26,1,76,1,15,1,261,261,1,26,15,7,24,2,5,1,3,83,0,116,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1611,1,0,1,0,86,0,24,0,141,0,1,141,2,0,0,0,0,0,0,1
leonid-shevtsov/unobtrusive_flash,18,1,28,1,13,1,1430,1430,1,18,13,11,36,8,17,2,2,47,0,180,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4153,1,0,4,0,53,0,114,0,146,0,1,146,20,0,0,0,0,0,0,1
ibspoof/ng-iScroll,15,1,60,1,4,1,2265,2265,1,15,4,5,25,8,10,2,2,70,0,255,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3336,5,0,3,0,73,0,43,0,146,0,1,146,3,0,0,0,0,0,0,1
njanirudh/Aruco_Tracker,0,0,0,0,0,0,0,0,0,0,0,4,18,8,8,4,1,54,0,180,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557,3,0,1,0,54,0,351,4,149,0,1,149,2,0,0,0,0,0,0,1
hakandilek/play2-crud,102,7,50,3,60,159,3465,1809,9,16200,9597,11,120,12,72,3,1,53,745,397,1,0,0,1,36,66,33,4,8,100,570,0,3,1,48,0,2466,2,0,83,2,1,4932,5,0,0,0,493,15,1,1,0,3348,5,0,6,1,54,3963,1024,7,143,0,1,143,2,0,0,0,0,0,0,0
AlexQuevillon/UnrealPythonLibrary,332,9,45,3,17,6,1125,1118,4,1993,100,1,345,6,29,2,2,58,340,297,0,0,0,1,36,7,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,2,0,3,0,58,0,125,0,145,0,1,145,2,0,0,0,0,0,0,1
chennyhuang/LeftSlide,345,6,12,1,1,7,2472,2311,3,2416,4,1,345,7,0,3,3,51,95,138,0,0,0,1,13,5,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2472,1,0,1,0,51,157,811,0,149,0,1,149,9,0,0,0,0,0,0,1
phamdinhkhanh/SQLCode,28,1,16,1,0,1,158,158,1,28,0,1,61949,3,0,1,27,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,1,0,1,0,62,0,257,0,146,0,0,0,0,0,0,0,0,0,0,0
